edge_id,scope,quote,origin,locator,evidence_file,extraction_call,review_call,role_audit_call
50b244808030a69db7e759a1,method,public java.lang.String toString(int);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/84bf506ee660c2b4b5aa.txt,,,
dc41adc814e7701795a19f12,constructor,"public java.math.BigInteger(int, int, java.util.Random);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/84bf506ee660c2b4b5aa.txt,,,
dc41adc814e7701795a19f12,constructor,"public java.math.BigInteger(int, java.util.Random);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/84bf506ee660c2b4b5aa.txt,,,
dc41adc814e7701795a19f12,method,"public static java.math.BigInteger probablePrime(int, java.util.Random);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/84bf506ee660c2b4b5aa.txt,,,
f4e71c90e9c5ba7dbf4bc823,method,public boolean contains(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/3110465d7ce5bed9c14a.txt,,,
f4e71c90e9c5ba7dbf4bc823,method,public boolean remove(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/3110465d7ce5bed9c14a.txt,,,
2d17aba78e4ba6c45f2b5c4a,method,public java.lang.Object[] toArray();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/3110465d7ce5bed9c14a.txt,,,
0f944fd2d5c9ae9af941a695,method,public java.lang.String toString();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/3110465d7ce5bed9c14a.txt,,,
6b3df442fcd1c6e9abf542c4,method,public boolean addAll(java.util.Collection<? extends E>);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/3110465d7ce5bed9c14a.txt,,,
6b3df442fcd1c6e9abf542c4,method,public boolean containsAll(java.util.Collection<?>);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/3110465d7ce5bed9c14a.txt,,,
6b3df442fcd1c6e9abf542c4,method,public boolean removeAll(java.util.Collection<?>);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/3110465d7ce5bed9c14a.txt,,,
6b3df442fcd1c6e9abf542c4,method,public boolean retainAll(java.util.Collection<?>);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/3110465d7ce5bed9c14a.txt,,,
313b594efc8660f30094d740,type,class java.util.AbstractCollection<E> implements java.util.Collection<E> {,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/3110465d7ce5bed9c14a.txt,,,
0846aef69b1efa33f32c625d,method,public boolean equals(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/15ddd5a5ff0c096f5ff4.txt,,,
0846aef69b1efa33f32c625d,method,public int indexOf(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/15ddd5a5ff0c096f5ff4.txt,,,
